importance_rank,osm_node_id,latitude,longitude,street_names,demand_level,total_demand_rate,design,design_name,completion_rate,avg_waiting_time_s,avg_queue_length,throughput_veh_s,traffic_efficiency
18,3673190579,13.8953156,100.6961963,ซอยไทยรามัญ; ถนนไทยรามัญ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,8.4,0.35,0.041666666666666664,0.8519835329341318
19,8392620342,13.8729128,100.6894381,ถนนพระยาสุเรนทร์,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,10.45945945945946,0.645,0.06166666666666667,0.8150459391889621
20,3012564666,13.8466951,100.7908739,ซอยประชาร่วมใจ 63; ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,8.466666666666667,0.635,0.075,0.8385224375024463
21,3843843349,13.824774,100.7511067,ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,9.21875,0.49166666666666664,0.05333333333333334,0.8358041826804655
22,3845068387,13.824209,100.7125358,ซอยเจริญพัฒนา 5; ถนนเจริญพัฒนา,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,9.222222222222221,0.5533333333333333,0.06,0.8330466616177117
23,5936141680,13.9033267,100.6912209,ซอยหนองระแหง 4,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,11.461538461538462,0.49666666666666665,0.043333333333333335,0.8107555729592384
24,3834754705,13.8596453,100.7392992,ซอยวัดสุขใจ; วัดสุขใจ 5/1; วัดสุขใจ 6,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,11.536585365853659,1.5766666666666667,0.13666666666666666,0.7674983991518827
25,1669530698,13.8330777,100.7640554,ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,15.37864077669903,2.64,0.17166666666666666,0.6974142673757564
26,6128822544,13.8408751,100.698682,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 2,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,21.864864864864863,1.3483333333333334,0.06166666666666667,0.689362764803941
27,1669530708,13.8365706,100.7693233,ถนนประชาร่วมใจ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,17.265060240963855,2.388333333333333,0.13833333333333334,0.6888688596735351
